iter	Logloss
0	0.6840387614
1	0.6792950223
2	0.6728161492
3	0.6682066757
4	0.6640695358
5	0.66099884
6	0.6571535079
7	0.654676278
8	0.6514543136
9	0.6488178997
10	0.645199412
11	0.6414607302
12	0.638748682
13	0.6367724562
14	0.634293995
15	0.6302163072
16	0.6264867718
17	0.6236736433
18	0.6224042176
19	0.619932499
20	0.6180907148
21	0.6159746535
22	0.6144182277
23	0.6128265645
24	0.6108397265
25	0.6079183646
26	0.6063441149
27	0.603691167
28	0.601940789
29	0.5999999765
30	0.5980248648
31	0.5962523828
32	0.5935778586
33	0.5920379082
34	0.590281022
35	0.5888992002
36	0.5867108465
37	0.5849156742
38	0.5827920494
39	0.5803453077
40	0.5789960262
41	0.5773834316
42	0.575657796
43	0.5738856071
44	0.5724017668
45	0.5698463814
46	0.5681100162
47	0.5664467056
48	0.5643514584
49	0.5624958958
50	0.5606648411
51	0.5582963135
52	0.5562056396
53	0.5547596165
54	0.5527337887
55	0.5512177598
56	0.5496109698
57	0.5472163513
58	0.5460962594
59	0.5440353115
60	0.542642467
61	0.5409266227
62	0.5399675323
63	0.5383693611
64	0.5365769444
65	0.5343475488
66	0.532589021
67	0.5309036064
68	0.529119574
69	0.5277933932
70	0.5260760246
71	0.5244962635
72	0.5232628961
73	0.52098126
74	0.5191073459
75	0.5175733172
76	0.5163806399
77	0.5146106203
78	0.5136356409
79	0.5124519341
80	0.5110743337
81	0.5088734329
82	0.507889776
83	0.5066120833
84	0.505433712
85	0.5042664805
86	0.5029502671
87	0.5016857664
88	0.4996512612
89	0.498096653
90	0.4964380328
91	0.4941880577
92	0.4919186756
93	0.49040508
94	0.4885651426
95	0.4874623177
96	0.48598736
97	0.4837053136
98	0.4819609159
99	0.4802372737
