iter	Passed	Remaining
0	16	1629
1	32	1575
2	46	1511
3	60	1443
4	74	1408
5	89	1395
6	102	1361
7	116	1336
8	129	1312
9	141	1271
10	154	1250
11	164	1204
12	178	1196
13	192	1179
14	204	1157
15	217	1142
16	231	1128
17	245	1119
18	259	1104
19	273	1094
20	286	1077
21	299	1063
22	313	1049
23	326	1035
24	341	1024
25	354	1008
26	368	996
27	382	983
28	395	969
29	412	961
30	426	949
31	438	932
32	452	918
33	466	905
34	480	891
35	494	879
36	509	867
37	524	855
38	539	844
39	553	830
40	567	816
41	581	803
42	596	790
43	611	777
44	626	766
45	643	754
46	658	742
47	671	727
48	689	717
49	703	703
50	718	690
51	730	674
52	743	659
53	755	643
54	767	628
55	780	612
56	793	598
57	805	583
58	818	568
59	832	554
60	845	540
61	859	526
62	872	512
63	884	497
64	897	483
65	912	469
66	926	456
67	941	443
68	956	429
69	970	416
70	985	402
71	999	388
72	1014	375
73	1029	361
74	1043	347
75	1057	333
76	1072	320
77	1088	306
78	1100	292
79	1112	278
80	1123	263
81	1134	249
82	1143	234
83	1154	219
84	1167	206
85	1182	192
86	1195	178
87	1208	164
88	1218	150
89	1232	136
90	1244	123
91	1256	109
92	1269	95
93	1283	81
94	1297	68
95	1308	54
96	1323	40
97	1336	27
98	1350	13
99	1363	0
