user_id,age,income,city,occupation,education,employment_length,existing_loans,credit_history_length,upi_transaction_count,avg_upi_amount,monthly_upi_spend,transaction_volatility,income_ratio,merchant_diversity,monthly_ecom_spend,avg_cart_value,num_orders,return_rate,category_diversity,payment_preference,num_stocks,total_investment,portfolio_risk,avg_holding_period,profit_loss_ratio,sip_active,late_payment_count,credit_utilization,savings_balance,monthly_savings_rate,num_bank_accounts,insurance_policies,debt_to_income_ratio,income_to_spend_ratio,savings_stability_index,investment_maturity_score,financial_health_score,default_flag
1,40,46432,Delhi,Self-employed,Graduate,3,1,41,71,230,11929,0.252869333319396,0.15543825902337938,9,3518,531,6,0.22784367573420242,7,Credit Card,6,183168,0.29417843884132094,188,0.1109693779987227,1,2,0.14258051438854605,17356,0.37080420024340915,4,2,0.31866034908778784,3.0056965302951837,0.7981678323553222,0.024233338268443802,0.541447738501369,0
2,33,45613,Mumbai,Self-employed,Graduate,3,0,77,32,278,10766,0.5666103738989874,0.4350591279533068,5,4087,2098,1,0.2278467343054637,8,UPI,6,90143,0.26171707774370156,214,0.3887344556013514,0,0,0.718249287993526,43117,0.224238372092373,2,3,0.0,3.070755352093712,0.6383208081989111,0.03606734654359666,0.35901019453837346,0
3,42,20386,Mumbai,Salaried,Doctorate,8,1,57,21,1202,24812,0.020974530300941034,0.5254625798017082,10,2602,4043,1,0.05896937355363873,3,UPI,3,97203,0.7076300122925663,49,-0.20178154813410676,0,1,0.2446378952317103,23963,0.7072257807404736,2,4,0.32962139687037495,0.7436075141345978,0.9794563628391801,0.0009398943147151251,0.6060022048285345,1
4,53,49116,Mumbai,Business,Undergraduate,11,4,90,22,434,9569,0.040347545384990684,0.5124694951720913,6,11277,606,16,0.07651129649583534,6,UPI,3,243964,0.4955574928199207,103,0.034972648191192654,1,2,0.7206554012975084,39620,0.31364602046714457,2,3,0.966037626287882,2.3560224492732766,0.9612172436375004,0.004419836083083801,0.2821773903387194,1
5,32,92938,Chennai,Business,Graduate,4,2,48,11,133,1077,0.067525341562336,0.6746662188346086,6,7746,1055,8,0.1421977475303156,5,UPI,9,46851,0.9010277911228526,81,0.002248164507720779,0,3,0.44242700603718865,22811,0.27047171102071643,2,2,0.4181978794271038,10.0,0.9367459123138829,0.001981176630271904,0.40698985887840233,1
6,32,27874,Mumbai,Salaried,Post-Graduate,2,2,38,51,965,48877,0.3080902012024785,0.3395104631971209,2,31042,1025,34,0.009267211387457194,5,Credit Card,9,72164,0.19253699872734656,109,0.39051641744207166,1,3,0.2534739356499524,49967,0.24774204169545933,3,3,0.2279284834264532,0.3487737737737738,0.7644732749169265,0.030176918879766746,0.4815229672469601,0
7,53,112318,Delhi,Self-employed,Graduate,3,2,37,16,113,1966,0.3307701533324116,0.3831108592669476,6,7848,500,16,0.12162077659475236,2,UPI,3,277180,0.27219301296134407,173,0.1803334312574612,0,1,0.4432522406017107,85190,0.30987625060116136,4,5,0.8393112900770567,10.0,0.751444565762072,0.012215054865754272,0.37849908496528034,1
8,44,80230,Hyderabad,Self-employed,Post-Graduate,4,0,96,8,1803,11159,0.4421275708362512,0.6731006556205844,8,5710,1467,3,0.30088127240850143,4,UPI,4,164835,0.0563962982489813,166,0.07125586478865945,0,3,0.6516745525564948,25962,0.31626445464077313,3,1,0.0,4.755779490219324,0.6934199305406294,0.01838899790938666,0.40305477020716085,0
9,29,38540,Delhi,Self-employed,Graduate,3,1,26,19,414,9765,0.2598631986266829,0.5350834278161121,7,6292,1323,5,0.07724490298293456,4,Debit Card,6,81902,0.3396824770985525,157,0.0012206265528462573,1,3,0.24906740600046284,24202,0.21073324155854434,1,4,0.31475281658141396,2.400049819404658,0.7937369716728393,0.017062420811260942,0.46043695317153527,0
10,41,54999,Hyderabad,Salaried,Graduate,4,1,80,38,260,11559,0.34289441184646896,0.4299674871612682,3,2633,2135,1,0.29229158540108163,4,Credit Card,3,145180,0.0703162562236739,196,-0.1020184101918917,0,1,0.3272662788124776,28407,0.41754172857637045,1,1,0.4851802037857592,3.8750792644261254,0.7446601841354065,0.013448911373094558,0.4812543968252109,0
11,29,156215,Hyderabad,Self-employed,Post-Graduate,3,0,34,31,312,11423,0.2924244917376757,0.23271969288984068,6,14494,1403,9,0.13401554058726517,2,UPI,6,462379,0.1840908665493396,160,0.28256794766773685,1,1,0.32925335578961534,56457,0.6292666282397488,2,2,0.0,6.0272783393780385,0.7737395928295134,0.027523302648280772,0.5955086422646961,0
12,29,92978,Delhi,Salaried,Undergraduate,2,0,36,41,132,5530,0.35443487717909666,0.42170332674422284,5,4255,1231,3,0.17379831844105348,2,COD,5,169787,0.22079006319723282,62,0.26476103642339555,1,1,0.4616617545370208,8285,0.6939353601819155,1,2,0.0,9.501124054772124,0.7383153054081981,0.008370122023321745,0.5713561060981328,0
13,37,60190,Hyderabad,Self-employed,Undergraduate,1,2,69,43,375,14518,0.20354458827449953,0.3982707208892123,2,1000,727,1,0.09109720147524446,6,Credit Card,8,217238,0.4087557836803221,63,0.2333848055635228,0,0,0.7866338761981079,33236,0.30383875478048383,2,1,0.7742969167981038,3.8784715510019976,0.830879063179273,0.01006939021709988,0.27974564993832235,1
14,21,51916,Hyderabad,Business,Graduate,8,0,21,28,295,8956,0.17263787503446473,0.36332385362951986,5,1427,500,2,0.11850217460950815,4,COD,4,243747,0.10525800882195709,93,0.450453755503194,1,2,0.34668055082788535,18202,0.24491006637051194,1,0,0.0,4.999614791987673,0.8527781860794912,0.013226708488973766,0.4721141963605827,0
