user_id,age,income,city,occupation,existing_loans,default_flag,total_amount,avg_amount,transaction_count,transaction_volatility,income_ratio,monthly_spend,avg_cart_value,num_orders,return_rate,category_diversity,payment_preference,num_stocks,total_investment,portfolio_risk,avg_holding_period,profit_loss_ratio,income_to_spend_ratio,savings_stability_index,investment_maturity_score
1,39,73106,Hyderabad,Salaried,2,0,1643.4166666666667,641.2333333333333,3.8333333333333335,0.5930613232586214,0.45652173913043476,2698,553,4,0.16131777818527604,4,EMI,7,4117,0.1931956907380445,12,0.3553179358584273,16.835325951371164,0.6277222260060216,0.05536910308280044
2,33,57659,Pune,Salaried,0,0,898.25,309.35833333333335,3.1666666666666665,1.1275192724357148,0.42105263157894735,5968,101,5,0.33376180469089084,2,EMI,5,2908,0.5520462803393995,33,0.6491271137808016,8.396228475736285,0.47003099476280585,0.10451062702913791
3,41,37414,Hyderabad,Salaried,3,0,842.5,211.61249999999998,3.5,0.9357096899861411,0.2857142857142857,1369,365,5,0.09227300420530417,3,COD,1,1791,0.4936723671903607,35,0.4197669262996606,16.910282485875705,0.5166063925666248,0.10792531825242077
4,50,26279,Bangalore,Salaried,1,1,2059.909090909091,399.11742424242425,3.8181818181818183,1.4478296399628376,0.47619047619047616,10837,364,8,0.14070973664289202,3,EMI,3,15099,0.35457732428871735,15,-0.01727826174035682,2.0374620269670207,0.4085251619124857,0.03961943130633763
5,32,51488,Bangalore,Salaried,2,0,2108.7272727272725,554.5649350649351,4.181818181818182,1.0008365883510448,0.391304347826087,6233,351,5,0.23416380176731505,4,Debit Card,8,49796,0.3081646352584,40,-0.13452986808671547,6.171602920344339,0.49979094036066823,0.10264360994736736
6,32,44211,Ahmedabad,Salaried,1,0,1033.9166666666667,245.6329365079365,4.166666666666667,1.1708315004817278,0.24,6759,841,4,0.11952675077155778,3,UPI,4,52718,0.5066726312833704,76,0.4131625615532475,5.6725009890192135,0.46065298010374855,0.2293909910475805
7,50,56817,Bangalore,Self-employed,2,0,1272.0833333333333,346.11527777777775,3.8333333333333335,0.9662978163154866,0.43478260869565216,7373,253,4,0.15852569290939209,3,EMI,1,3134,0.22142372732113874,29,0.20285462075846072,6.571414802463543,0.5085699590888184,0.11665026687344039
8,42,49890,Hyderabad,Student,0,0,1887.6666666666667,423.53125,4.333333333333333,1.2256631810183236,0.5,3405,359,2,0.15199495900210885,4,Credit Card,4,16712,0.8094951028294155,66,-0.13954484029190875,9.424469491845601,0.4493042831137022,0.04531534284123968
9,30,61376,Chennai,Self-employed,2,0,1269.923076923077,442.2230769230769,3.6153846153846154,0.827502720983453,0.44680851063829785,3607,441,3,0.15973362119726284,3,EMI,8,8431,0.2778829495884886,79,-0.5,12.582404238878462,0.5471948077110712,0.12260810788956726
10,40,27788,Kolkata,Salaried,0,0,2250.0,460.5222222222222,4.75,1.5211584626338888,0.42105263157894735,770,917,3,0.19879059208076083,2,COD,3,3214,0.5932858378203101,68,0.5783892804765159,9.198278715657068,0.39664305707912,0.18865657022967122
11,30,70171,Kolkata,Salaried,2,0,2473.0,634.1236111111111,4.0,1.4151683660661905,0.4791666666666667,4032,192,4,0.1926017485943325,3,Debit Card,1,17190,0.49239788629095105,42,0.2967243701217953,10.78558253919459,0.4140498087215316,0.11877341763383895
12,30,40086,Ahmedabad,Student,4,0,3277.5384615384614,1085.5006105006105,3.6923076923076925,1.4563215274763073,0.25,3449,643,3,0.15116698255319194,2,Credit Card,5,8125,0.3081216788715817,15,-0.11360235783876055,5.958494363008531,0.4071128265636412,0.0382448096356216
13,37,102501,Delhi,Salaried,0,1,1659.5,404.44712301587305,4.333333333333333,1.3058623069011877,0.5384615384615385,2951,519,4,0.3227934786841461,5,Debit Card,5,11472,0.4369029751891714,33,-0.15356445585024472,22.227257942101268,0.43367723953295567,0.06674994677896513
14,18,25729,Kolkata,Salaried,0,1,1614.5384615384614,309.3763736263736,4.384615384615385,1.547194145312819,0.3684210526315789,7244,234,5,0.12099684617915522,1,Credit Card,8,17471,0.05466961570533499,24,-0.4174757064847213,2.9041016201573275,0.3925888420559285,0.05578188953409647
15,18,86507,Kolkata,Self-employed,2,0,1431.5454545454545,711.5400432900433,3.3636363636363638,0.4670881146044752,0.43243243243243246,1065,300,4,0.22549603879450636,4,UPI,5,6395,0.5214220755923985,88,-0.24368582586530732,34.6368070469188,0.6816223170546225,0.137138840565896
16,29,40092,Bangalore,Self-employed,0,0,1619.5,256.5580687830688,5.333333333333333,1.4792230741757197,0.35937500000000006,3062,414,5,0.08417623471541885,2,Debit Card,3,6277,0.5510216873570367,91,0.6425618201881221,8.562092899092365,0.4033521672237885,0.291062728518891
17,24,26220,Bangalore,Self-employed,2,1,1721.1666666666667,469.4164351851852,4.916666666666667,0.7935390731306766,0.45762711864406774,2159,491,1,0.1344920214838586,2,COD,3,37664,0.5135367992211821,24,0.041511697434884524,6.75570060548804,0.5575568522488166,0.05116960652693667
18,38,28511,Hyderabad,Salaried,0,0,2175.75,404.55800264550265,4.583333333333333,1.5746798453388529,0.38181818181818183,5283,372,8,0.057434699516155915,2,Credit Card,6,7168,0.657332229875127,15,0.1693767974285353,3.821977948322665,0.3883978048029464,0.02432468199787428
19,25,30940,Ahmedabad,Salaried,0,0,1595.75,381.25846560846566,4.5,1.0580071431737599,0.462962962962963,5903,211,5,0.20993701444911805,3,EMI,3,11714,0.4679878808234023,27,0.34448407728931413,4.125470849028301,0.48590696262494404,0.08239624183227041
20,20,44895,Delhi,Student,3,0,1070.0833333333333,300.7916666666667,3.3333333333333335,1.4596837109246863,0.375,9660,466,4,0.0833336529029815,1,UPI,9,50044,0.2993916704797312,42,0.2369874641935342,4.183640980640352,0.4065563371251757,0.15698923411709628
21,49,47165,Ahmedabad,Salaried,1,1,1822.0,509.5453703703704,5.333333333333333,0.6660075575707786,0.5,4171,892,4,0.1600233315550592,3,Credit Card,2,2136,0.6733293650260964,103,0.31616511862453817,7.868702035368702,0.6002373731474001,0.19141688887101013
22,32,27259,Mumbai,Self-employed,2,0,1521.3076923076924,376.0551282051282,3.6153846153846154,1.2951679995721543,0.3829787234042553,2510,328,4,0.10978889642231182,4,UPI,6,5101,0.08766440896723597,65,-0.1121571892917817,6.760148798168638,0.4356979533465139,0.2279379105245571
23,35,35875,Pune,Business,1,0,1806.4166666666667,304.70238095238096,5.0,1.1967459346550133,0.2833333333333333,6450,265,5,0.009208509331121587,4,Debit Card,7,1000,0.5597082363831756,70,0.06510542684559822,4.344579115744432,0.45521877802270494,0.1413950520774484
24,20,105993,Delhi,Self-employed,1,0,1826.4166666666667,397.2369047619047,4.583333333333333,1.2747157889063419,0.4181818181818182,2893,292,3,0.20764979163700834,2,Debit Card,4,3947,0.4931062777320421,33,-0.49158747858550345,22.454161885426778,0.4396153598075604,0.035211907662757405
